Competição,Ano,Jogo
Serie C,2020,20
Serie D,2020,23
Serie D,2020,25
Serie C,2020,34
Serie D,2020,89
Serie D,2020,104
Copa do Brasil,2020,119
Copa do Brasil,2020,120
Serie D,2020,121
Copa do Brasil,2020,121
Copa do Brasil,2020,122
Copa do Brasil,2020,123
Copa do Brasil,2020,124
Copa do Brasil,2020,125
Copa do Brasil,2020,126
Copa do Brasil,2020,127
Copa do Brasil,2020,128
Copa do Brasil,2020,129
Copa do Brasil,2020,130
Copa do Brasil,2020,131
Copa do Brasil,2020,132
Copa do Brasil,2020,133
Copa do Brasil,2020,134
Copa do Brasil,2020,135
Copa do Brasil,2020,136
Copa do Brasil,2020,137
Copa do Brasil,2020,138
Copa do Brasil,2020,139
Copa do Brasil,2020,140
Copa do Brasil,2020,141
Copa do Brasil,2020,142
Copa do Brasil,2020,143
Copa do Brasil,2020,144
Copa do Brasil,2020,145
Copa do Brasil,2020,146
Copa do Brasil,2020,147
Copa do Brasil,2020,148
Copa do Brasil,2020,149
Copa do Brasil,2020,150
Copa do Brasil,2020,151
Copa do Brasil,2020,152
Copa do Brasil,2020,153
Copa do Brasil,2020,154
Copa do Brasil,2020,155
Copa do Brasil,2020,156
Copa do Brasil,2020,157
Copa do Brasil,2020,158
Copa do Brasil,2020,159
Copa do Brasil,2020,160
Copa do Brasil,2020,161
Copa do Brasil,2020,162
Copa do Brasil,2020,163
Copa do Brasil,2020,164
Copa do Brasil,2020,165
Copa do Brasil,2020,166
Copa do Brasil,2020,167
Copa do Brasil,2020,168
Copa do Brasil,2020,169
Copa do Brasil,2020,170
Copa do Brasil,2020,171
Copa do Brasil,2020,172
Copa do Brasil,2020,173
Copa do Brasil,2020,174
Copa do Brasil,2020,175
Copa do Brasil,2020,176
Copa do Brasil,2020,177
Copa do Brasil,2020,178
Copa do Brasil,2020,179
Copa do Brasil,2020,180
Copa do Brasil,2020,181
Copa do Brasil,2020,182
Copa do Brasil,2020,183
Copa do Brasil,2020,184
Serie D,2020,185
Copa do Brasil,2020,185
Copa do Brasil,2020,186
Copa do Brasil,2020,187
Copa do Brasil,2020,188
Copa do Brasil,2020,189
Copa do Brasil,2020,190
Copa do Brasil,2020,191
Copa do Brasil,2020,192
Copa do Brasil,2020,193
Copa do Brasil,2020,194
Copa do Brasil,2020,195
Copa do Brasil,2020,196
Copa do Brasil,2020,197
Copa do Brasil,2020,198
Copa do Brasil,2020,199
Copa do Brasil,2020,200
Copa do Brasil,2020,201
Copa do Brasil,2020,202
Copa do Brasil,2020,203
Copa do Brasil,2020,204
Copa do Brasil,2020,205
Copa do Brasil,2020,206
Serie C,2020,207
Copa do Brasil,2020,207
Serie C,2020,208
Copa do Brasil,2020,208
Serie C,2020,209
Copa do Brasil,2020,209
Serie B,2020,210
Serie C,2020,210
Copa do Brasil,2020,210
Serie C,2020,211
Copa do Brasil,2020,211
Serie C,2020,212
Copa do Brasil,2020,212
Serie C,2020,213
Copa do Brasil,2020,213
Serie C,2020,214
Copa do Brasil,2020,214
Serie C,2020,215
Copa do Brasil,2020,215
Serie C,2020,216
Copa do Brasil,2020,216
Serie C,2020,217
Copa do Brasil,2020,217
Serie C,2020,218
Copa do Brasil,2020,218
Serie C,2020,219
Copa do Brasil,2020,219
Serie C,2020,220
Copa do Brasil,2020,220
Serie C,2020,221
Copa do Brasil,2020,221
Serie C,2020,222
Copa do Brasil,2020,222
Serie C,2020,223
Copa do Brasil,2020,223
Serie C,2020,224
Copa do Brasil,2020,224
Serie C,2020,225
Copa do Brasil,2020,225
Serie C,2020,226
Copa do Brasil,2020,226
Serie C,2020,227
Copa do Brasil,2020,227
Serie C,2020,228
Copa do Brasil,2020,228
Serie C,2020,229
Copa do Brasil,2020,229
Serie C,2020,230
Copa do Brasil,2020,230
Serie C,2020,231
Copa do Brasil,2020,231
Serie C,2020,232
Copa do Brasil,2020,232
Serie C,2020,233
Copa do Brasil,2020,233
Serie C,2020,234
Copa do Brasil,2020,234
Serie C,2020,235
Copa do Brasil,2020,235
Serie C,2020,236
Copa do Brasil,2020,236
Serie C,2020,237
Copa do Brasil,2020,237
Serie C,2020,238
Copa do Brasil,2020,238
Serie C,2020,239
Copa do Brasil,2020,239
Serie C,2020,240
Copa do Brasil,2020,240
Serie C,2020,241
Copa do Brasil,2020,241
Serie C,2020,242
Copa do Brasil,2020,242
Serie C,2020,243
Copa do Brasil,2020,243
Serie C,2020,244
Copa do Brasil,2020,244
Serie C,2020,245
Serie D,2020,245
Copa do Brasil,2020,245
Serie C,2020,246
Copa do Brasil,2020,246
Serie C,2020,247
Copa do Brasil,2020,247
Serie C,2020,248
Copa do Brasil,2020,248
Serie C,2020,249
Copa do Brasil,2020,249
Serie C,2020,250
Copa do Brasil,2020,250
Serie C,2020,251
Copa do Brasil,2020,251
Serie C,2020,252
Copa do Brasil,2020,252
Serie C,2020,253
Copa do Brasil,2020,253
Serie C,2020,254
Copa do Brasil,2020,254
Serie C,2020,255
Copa do Brasil,2020,255
Serie C,2020,256
Copa do Brasil,2020,256
Serie C,2020,257
Copa do Brasil,2020,257
Serie C,2020,258
Copa do Brasil,2020,258
Serie C,2020,259
Copa do Brasil,2020,259
Serie C,2020,260
Copa do Brasil,2020,260
Serie C,2020,261
Copa do Brasil,2020,261
Serie C,2020,262
Copa do Brasil,2020,262
Serie C,2020,263
Copa do Brasil,2020,263
Serie C,2020,264
Copa do Brasil,2020,264
Serie C,2020,265
Copa do Brasil,2020,265
Serie C,2020,266
Copa do Brasil,2020,266
Serie C,2020,267
Copa do Brasil,2020,267
Serie C,2020,268
Copa do Brasil,2020,268
Serie C,2020,269
Copa do Brasil,2020,269
Serie C,2020,270
Copa do Brasil,2020,270
Serie C,2020,271
Copa do Brasil,2020,271
Serie C,2020,272
Copa do Brasil,2020,272
Serie C,2020,273
Copa do Brasil,2020,273
Serie C,2020,274
Copa do Brasil,2020,274
Serie C,2020,275
Copa do Brasil,2020,275
Serie C,2020,276
Copa do Brasil,2020,276
Serie C,2020,277
Copa do Brasil,2020,277
Serie C,2020,278
Copa do Brasil,2020,278
Serie C,2020,279
Copa do Brasil,2020,279
Serie C,2020,280
Copa do Brasil,2020,280
Serie B,2020,281
Serie C,2020,281
Copa do Brasil,2020,281
Serie C,2020,282
Copa do Brasil,2020,282
Serie C,2020,283
Copa do Brasil,2020,283
Serie C,2020,284
Copa do Brasil,2020,284
Serie C,2020,285
Copa do Brasil,2020,285
Serie C,2020,286
Copa do Brasil,2020,286
Serie C,2020,287
Copa do Brasil,2020,287
Serie C,2020,288
Copa do Brasil,2020,288
Serie C,2020,289
Copa do Brasil,2020,289
Serie C,2020,290
Copa do Brasil,2020,290
Serie C,2020,291
Copa do Brasil,2020,291
Serie C,2020,292
Copa do Brasil,2020,292
Serie C,2020,293
Copa do Brasil,2020,293
Serie C,2020,294
Copa do Brasil,2020,294
Serie C,2020,295
Copa do Brasil,2020,295
Serie C,2020,296
Copa do Brasil,2020,296
Serie C,2020,297
Copa do Brasil,2020,297
Serie C,2020,298
Copa do Brasil,2020,298
Serie C,2020,299
Copa do Brasil,2020,299
Serie C,2020,300
Copa do Brasil,2020,300
Serie C,2020,301
Copa do Brasil,2020,301
Serie A,2020,302
Serie C,2020,302
Copa do Brasil,2020,302
Serie C,2020,303
Copa do Brasil,2020,303
Serie C,2020,304
Copa do Brasil,2020,304
Serie C,2020,305
Copa do Brasil,2020,305
Serie C,2020,306
Copa do Brasil,2020,306
Serie C,2020,307
Copa do Brasil,2020,307
Serie C,2020,308
